"PARTYNUMBER";"LOCATIONID";"VALIDFROM";"LEGISLATIONTYPE";"COUNTRYREGIONID";"DESCRIPTION";"ISSUEDATE";"ISSUER";"REGISTRATIONNUMBER";"SECTION";"TAXREGSTRATIONTYPE";"VALIDTO"
"000000427";"000005027";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0402.753.995";"";"Enterprise number";"2154-12-31 00:00:00"
"000000427";"000005027";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0402.753.995";"";"VAT";"2154-12-31 00:00:00"
"000000431";"000005031";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0419.107.009";"";"Enterprise number";"2154-12-31 00:00:00"
"000000431";"000005031";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0419.107.009";"";"VAT";"2154-12-31 00:00:00"
"000000432";"000005032";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0651.680.543";"";"Enterprise number";"2154-12-31 00:00:00"
"000000432";"000005032";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0651.680.543";"";"VAT";"2154-12-31 00:00:00"
"000000433";"000005033";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0447.875.427";"";"Enterprise number";"2154-12-31 00:00:00"
"000000433";"000005033";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0447.875.427";"";"VAT";"2154-12-31 00:00:00"
"000000434";"000005034";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0479.497.130";"";"Enterprise number";"2154-12-31 00:00:00"
"000000434";"000005034";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0479.497.130";"";"VAT";"2154-12-31 00:00:00"
"000000435";"000005035";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0407.219.658";"";"Enterprise number";"2154-12-31 00:00:00"
"000000435";"000005035";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0407.219.658";"";"VAT";"2154-12-31 00:00:00"
"000000436";"000005036";"2018-03-30 00:00:00";"TAXID";"CHN";"";"1900-01-01 00:00:00";"";"BE0407.219.658";"";"VAT";"2154-12-31 00:00:00"
"000000438";"000005038";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0448.515.132";"";"Enterprise number";"2154-12-31 00:00:00"
"000000438";"000005038";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0448.515.132";"";"VAT";"2154-12-31 00:00:00"
"000000439";"000005039";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0435.941.358";"";"Enterprise number";"2154-12-31 00:00:00"
"000000439";"000005039";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0435.941.358";"";"VAT";"2154-12-31 00:00:00"
"000000441";"000005041";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0447.764.668";"";"Enterprise number";"2154-12-31 00:00:00"
"000000441";"000005041";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0447.764.668";"";"VAT";"2154-12-31 00:00:00"
"000000442";"000005042";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0817.438.202";"";"Enterprise number";"2154-12-31 00:00:00"
"000000442";"000005042";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0817.438.202";"";"VAT";"2154-12-31 00:00:00"
"000000443";"000005043";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0457.098.840";"";"Enterprise number";"2154-12-31 00:00:00"
"000000443";"000005043";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0457.098.840";"";"VAT";"2154-12-31 00:00:00"
"000000444";"000005044";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0405.713.386";"";"Enterprise number";"2154-12-31 00:00:00"
"000000444";"000005044";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0405.713.386";"";"VAT";"2154-12-31 00:00:00"
"000000445";"000005045";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0419.397.415";"";"Enterprise number";"2154-12-31 00:00:00"
"000000445";"000005045";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0419.397.415";"";"VAT";"2154-12-31 00:00:00"
"000000446";"000005046";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0896.763.812";"";"Enterprise number";"2154-12-31 00:00:00"
"000000446";"000005046";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0896.763.812";"";"VAT";"2154-12-31 00:00:00"
"000000450";"000005050";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0405.414.072";"";"Enterprise number";"2154-12-31 00:00:00"
"000000450";"000005050";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0405.414.072";"";"VAT";"2154-12-31 00:00:00"
"000000451";"000005051";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0400.974.739";"";"Enterprise number";"2154-12-31 00:00:00"
"000000451";"000005051";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0400.974.739";"";"VAT";"2154-12-31 00:00:00"
"000000455";"000005055";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0421.117.679";"";"Enterprise number";"2154-12-31 00:00:00"
"000000455";"000005055";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0421.117.679";"";"VAT";"2154-12-31 00:00:00"
"000000457";"000005057";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0406.383.379";"";"Enterprise number";"2154-12-31 00:00:00"
"000000457";"000005057";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0406.383.379";"";"VAT";"2154-12-31 00:00:00"
"000000458";"000005058";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0405.562.641";"";"Enterprise number";"2154-12-31 00:00:00"
"000000458";"000005058";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0405.562.641";"";"VAT";"2154-12-31 00:00:00"
"000000460";"000005060";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0434.532.779";"";"Enterprise number";"2154-12-31 00:00:00"
"000000460";"000005060";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0434.532.779";"";"VAT";"2154-12-31 00:00:00"
"000000462";"000005062";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0417.348.339";"";"Enterprise number";"2154-12-31 00:00:00"
"000000462";"000005062";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0417.348.339";"";"VAT";"2154-12-31 00:00:00"
"000000463";"000005063";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0426.860.673";"";"Enterprise number";"2154-12-31 00:00:00"
"000000463";"000005063";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0426.860.673";"";"VAT";"2154-12-31 00:00:00"
"000000465";"000005065";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0407.409.007";"";"Enterprise number";"2154-12-31 00:00:00"
"000000465";"000005065";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0407.409.007";"";"VAT";"2154-12-31 00:00:00"
"000000466";"000005066";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0407.079.207";"";"Enterprise number";"2154-12-31 00:00:00"
"000000466";"000005066";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0407.079.207";"";"VAT";"2154-12-31 00:00:00"
"000000467";"000002401";"2018-03-30 00:00:00";"TAXID";"NLD";"";"1900-01-01 00:00:00";"";"NL823188152B01";"";"VAT";"2154-12-31 00:00:00"
"000000468";"000002402";"2018-03-30 00:00:00";"TAXID";"NLD";"";"1900-01-01 00:00:00";"";"NL007919839B01";"";"VAT";"2154-12-31 00:00:00"
"000000469";"000002405";"2018-03-30 00:00:00";"TAXID";"NLD";"";"1900-01-01 00:00:00";"";"NL856464338B01";"";"VAT";"2154-12-31 00:00:00"
"000000470";"000002408";"2018-03-30 00:00:00";"TAXID";"NLD";"";"1900-01-01 00:00:00";"";"NL001632553B28";"";"VAT";"2154-12-31 00:00:00"
"000000471";"000002410";"2018-03-30 00:00:00";"TAXID";"NLD";"";"1900-01-01 00:00:00";"";"NL009219250B01";"";"VAT";"2154-12-31 00:00:00"
